id,link,house_name,address,price,area,length,width,price_per_square,bedroom,floor,toilet,house_type,furnishing_status,legal_status,priority_characteristics,living_size,direction,crawl_time
115505648,https://www.nhatot.com//mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/115505648.htm,"Bán Nhà 3 Tầng. 4*20. Hẻm xe tải tránh. Cách QL13 200m. Giá: 6,299 tỷ",,"6,299 tỷ",80 m²,,,"78,74 triệu/m²",4 phòng,3,4 phòng,"Nhà ngõ, hẻm",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:35:39
114087897,https://www.nhatot.com//mua-ban-nha-dat-quan-12-tp-ho-chi-minh/114087897.htm,"Nhà DT Ngang 12M Thích Hợp Xây Biệt Thự,Hẻm7m Đường TTH 07 Gần Gò Vấp",,"5,05 tỷ",110 m²,,,"45,91 triệu/m²",3 phòng,2,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,Đông Nam,2024-05-01 07:36:13
114845323,https://www.nhatot.com//mua-ban-dat-thanh-pho-long-khanh-dong-nai/114845323.htm,Bán nền đất trống full thổ cư hẻm đường 9 tháng 4 xuân thanh LK,,3 tỷ,262 m²,12.1997 m,20.8999 m,"11,45 triệu/m²",,,,,,Đã có sổ,"Thổ cư toàn bộ,Hẻm xe hơi,Nở hậu,Mặt tiền",,,2024-05-01 07:36:14
103874045,https://www.nhatot.com//mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/103874045.htm,nhà hẻm ba gác Tăng Bạt Hổ P.11 BT 24m2 3 tỷ6,,"3,6 tỷ",24 m²,,,150 triệu/m²,3 phòng,2,2 phòng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,Đã có sổ,,,,2024-05-01 07:36:46
115242756,https://www.nhatot.com//mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/115242756.htm,Bán căn hộ CC Đền Lừ - Thang Máy,,"1,88 tỷ",45 m²,,,"41,78 triệu/m²",2 phòng,,1 phòng,,,Sổ hồng riêng,,,,2024-05-01 07:36:46
115469224,https://www.nhatot.com//mua-ban-nha-dat-quan-ninh-kieu-can-tho/115469224.htm,BÁN NHÀ LỘ Ô TÔ GIÁ RẺ TẠI HẼM 51 HỒ BÚN XÁNG,,"1,29 tỷ",33.5999 m²,8.6 m,4 m,"38,39 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:37:19
113962627,https://www.nhatot.com//mua-ban-dat-huyen-can-giuoc-long-an/113962627.htm,Đất Hẻm xe hơi Sổ Hồng Riêng,,1 tỷ,55 m²,,,"18,18 triệu/m²",,,,,,,Hẻm xe hơi,,,2024-05-01 07:37:19
107157777,https://www.nhatot.com//mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/107157777.htm,"Nhà Phố- Đường số 1, KDC Bình Hưng, Liền Kề Q8",,"22,22 tỷ",215 m²,,,"103,35 triệu/m²",2 phòng,1,1 phòng,"Nhà mặt phố, mặt tiền",,Đã có sổ,,,Tây,2024-05-01 07:37:20
115214576,https://www.nhatot.com//mua-ban-nha-dat-quan-12-tp-ho-chi-minh/115214576.htm,Nhà SHR 44m2 Đúc 1 lầu 3PN 1/ Ngắn 20m Lê Văn Khương Ngay Metro Q12,,"3,09 tỷ",44 m²,,,"70,23 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,Đã có sổ,,,,2024-05-01 07:37:21
115358094,https://www.nhatot.com//mua-ban-can-ho-chung-cu-quan-tan-phu-tp-ho-chi-minh/115358094.htm#px=SR-special_display_ad-[PO-17][PL-default],Căn hộ 63m2 tại khu Emerald dự án Celadon City giá ***,,"3,05 tỷ",63 m²,,,"48,41 triệu/m²",2 phòng,,,,,Hợp đồng đặt cọc,,,,2024-05-01 07:37:21
